id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo
P0362;Lavavajilla Ayni 362;Limpieza;Lavavajilla;Ayni;6.0;3.71
P0363;Detergente Sol 363;Limpieza;Detergente;Norte;17.31;13.22
P0364;Cerdo Ayni 364;Carnes;Cerdo;Premium;31.94;25.45
P0365;Cerdo Inti 365;Carnes;Cerdo;Kantu;37.12;29.53
P0366;Arroz Premium 366;;Arroz;Ayni;25.09;18.84
P0367;Keke Kantu 367;Panaderia;Keke;Premium;45.51;32.7
P0368;Keke Kantu 368;Panaderia;Keke;Valle;12.53;8.13
P0369;Pan molde Valle 369;;Pan molde;Sol;17.86;13.86
P0370;Jabon Inti 370;Cuidado personal;Jabon;Norte;16.25;9.93
P0371;Desinfectante Ayni 371;Limpieza;Desinfectante;Andes;46.79;26.76
P0372;Res Sol 372;Carnes;Res;Kantu;11.51;7.32
P0373;Agua Inti 373;BEBIDAS ;Agua;Kantu;29.79;22.32
P0374;Mantequilla Norte 374;lácteos;Mantequilla;Kantu;25.83;19.23
P0375;Platano Ayni 375;Frutas y verduras;Platano;Sol;26.41;16.76
P0376;Suavizante Kantu 376;Limpieza;Suavizante;Ayni;23.96;19.1
P0377;Pan molde Kantu 377;Panaderia;Pan molde;Sol;32.79;24.74
P0378;Mantequilla Valle 378;Lacteos;Mantequilla;Valle;8.18;6.25
P0379;Mantequilla Inti 379;LACTEOS;Mantequilla;Valle;13.6;8.66
P0380;Desodorante Inti 380;Cuidado Personal;Desodorante;Norte;41.93;23.22
P0381;Galletas Ayni 381;Snacks;Galletas;Valle;27.63;18.35
P0382;Mantequilla Sol 382; Lacteos;Mantequilla;Inti;36.67;27.84
P0383;Papa Sol 383;Frutas y verduras;Papa;Inti;17.02;10.29
P0384;Arroz Inti 384;Abarrotes;Arroz;Premium;40.42;28.62
P0385;Yogurt Andes 385;Lacteos;Yogurt;Kantu;23.74;18.31
P0386;Papas Andes 386;Snacks;Papas;Norte;7.9;5.59
P0387;Leche Norte 387;Lacteos;Leche;Andes;57.28;31.74
P0388;Pizza Premium 388;Congelados;Pizza;Norte;20.7;13.94
P0389;Embutidos Valle 389;Carnes;Embutidos;Premium;47.44;28.69
P0390;Pan molde Sol 390;Panaderia;Pan molde;Ayni;43.02;33.33
P0391;Shampoo Valle 391;Cuidado personal;Shampoo;Valle;23.69;18.15
P0392;Pizza Ayni 392;Congelados;Pizza;Premium;26.36;19.6
P0393;Energizante Premium 393;Bebidas;Energizante;Sol;47.16;31.68
P0394;Pan molde Norte 394;Panaderia;Pan molde;Valle;18.74;11.1
P0395;Agua Inti 395;Bebidas;Agua;Norte;9.83;7.75
P0396;Lavavajilla Sol 396;Limpieza;Lavavajilla;Inti;21.81;12.8
P0397;Leche Valle 397;Lacteos;Leche;Inti;13.69;9.96
P0398;Chocolates Ayni 398;Snacks;Chocolates;Inti;12.5;8.47
P0399;Pizza Norte 399;Congelados;Pizza;Premium;54.82;30.67
P0400;Pollo Norte 400;Carnes;Pollo;Andes;11.35;9.17
P0401;Jabon Premium 401;Cuidado personal;Jabon;Sol;48.48;33.6
P0402;Pasta dental Kantu 402;CUIDADO PERSONAL ;Pasta dental;Norte;6.86;4.4
P0403;Shampoo Inti 403;Cuidado personal;Shampoo;Kantu;16.0;12.97
P0404;Papas Premium 404;Snacks;Papas;Andes;73.86;42.17
P0405;Yogurt Andes 405;Lacteos;Yogurt;Kantu;15.66;12.12
P0406;Fideos Valle 406;Abarrotes;Fideos;Norte;11.52;7.28
P0407;Fideos Inti 407;Abarrotes;Fideos;Inti;18.88;10.44
P0408;Pizza Andes 408;Congelados;Pizza;Ayni;68.42;37.74
P0409;Suavizante Andes 409;Limpieza;Suavizante;Valle;30.59;23.24
P0410;Helado Premium 410;Congelados;Helado;Sol;20.3;13.66
P0411;Gaseosa Kantu 411;Bebidas;Gaseosa;Valle;31.73;19.67
P0412;Tomate Premium 412;Frutas y verduras;Tomate;Kantu;24.53;19.67
P0413;Desodorante Inti 413;Cuidado personal;Desodorante;Sol;13.86;8.08
P0414;Arroz Sol 414;ABARROTES;Arroz;Kantu;22.24;15.93
P0415;Conservas Valle 415;abarrotes ;Conservas;Valle;27.06;20.05
P0416;Leche Norte 416;Lacteos;Leche;Norte;17.77;12.34
P0417;Conservas Andes 417;Abarrotes;Conservas;Premium;12.89;8.56
P0418;Platano Valle 418;Frutas y verduras;Platano;Premium;13.63;8.3
P0419;Energizante Sol 419;Bebidas;Energizante;Premium;11.35;6.63
P0420;Platano Sol 420;Frutas y verduras;Platano;Kantu;49.45;39.61
P0421;Frutos secos Premium 421;Snacks;Frutos secos;Andes;20.59;15.2
P0422;Yogurt Kantu 422;Lacteos;Yogurt;Andes;38.64;29.3
P0423;Suavizante Ayni 423;Limpieza;Suavizante;Norte;62.92;41.63
P0424;Manzana Sol 424;Frutas y verduras;Manzana;Kantu;11.93;7.87
P0425;Energizante Norte 425;Bebidas;Energizante;Ayni;8.34;4.87
P0426;Bizcocho Norte 426;Panaderia;Bizcocho;Ayni;11.67;8.59
P0427;Platano Andes 427;Frutas y verduras;Platano;Ayni;21.61;12.74
P0428;Aceite Kantu 428;Abarrotes;Aceite;Premium;44.58;27.09
P0429;Energizante Sol 429; bebidas;Energizante;Premium;7.77;4.98
P0430;Pasta dental Ayni 430;Cuidado personal;Pasta dental;Ayni;8.86;6.62
P0431;Platano Andes 431;Frutas y verduras;Platano;Valle;11.72;8.82
P0432;Papas Inti 432;Snacks;Papas;Inti;16.72;11.78
P0433;Desodorante Valle 433; cuidado personal;Desodorante;Andes;14.57;9.01
P0434;Desodorante Valle 434;Cuidado personal;Desodorante;Inti;19.06;11.51
P0435;Manzana Inti 435;Frutas y verduras;Manzana;Norte;23.83;14.02
P0436;Arroz Norte 436;Abarrotes;Arroz;Ayni;13.89;9.33
P0437;Queso Norte 437;Lacteos;Queso;Sol;18.16;13.3
P0438;Frutos secos Norte 438;Snacks;Frutos secos;Sol;20.25;14.84
P0439;Embutidos Inti 439;Carnes;Embutidos;Andes;30.72;23.25
P0440;Papa Norte 440;;Papa;Premium;21.52;13.45
P0441;Helado Sol 441;Congelados;Helado;Sol;11.75;9.35
P0442;Manzana Sol 442;Frutas y verduras;Manzana;Valle;6.98;5.52
P0443;Pasta dental Ayni 443;Cuidado personal;Pasta dental;Ayni;31.87;22.93
P0444;Pizza Premium 444;Congelados;Pizza;Premium;26.04;18.86
P0445;Detergente Valle 445;Limpieza;Detergente;Inti;16.69;9.58
P0446;Chocolates Valle 446;Snacks;Chocolates;Ayni;26.04;15.68
P0447;Verduras congeladas Premium 447;Congelados;Verduras congeladas;Inti;15.37;12.12
P0448;Gaseosa Premium 448;Bebidas;Gaseosa;Valle;10.82;6.23
P0449;Frutos secos Kantu 449;Snacks;Frutos secos;Valle;48.19;31.18
P0450;Pizza Inti 450;Congelados;Pizza;Kantu;17.72;13.53
P0451;Pasta dental Kantu 451;Cuidado personal;Pasta dental;Premium;29.16;20.4
P0452;Queso Ayni 452;LACTEOS;Queso;Inti;27.85;15.48
P0453;Leche Norte 453;lácteos;Leche;Premium;13.62;9.75
P0454;Queso Premium 454;Lacteos;Queso;Inti;9.62;5.67
P0455;Desinfectante Kantu 455;Limpieza;Desinfectante;Norte;9.54;7.26
P0456;Desinfectante Andes 456;Limpieza;Desinfectante;Inti;16.79;9.89
P0457;Helado Kantu 457;Congelados;Helado;Sol;32.53;20.01
P0458;Arroz Ayni 458;Abarrotes;Arroz;Andes;76.71;55.62
P0459;Energizante Inti 459;BEBIDAS ;Energizante;Inti;16.48;10.5
P0460;Jabon Inti 460;Cuidado personal;Jabon;Premium;12.8;8.1
P0461;Galletas Premium 461;Snacks;Galletas;Norte;14.11;11.29
P0462;Embutidos Andes 462;Carnes;Embutidos;Premium;16.48;9.67
P0463;Energizante Inti 463;BEBIDAS ;Energizante;Kantu;23.12;17.35
P0464;Cerdo Kantu 464;Carnes;Cerdo;Kantu;12.93;10.35
P0465;Embutidos Sol 465;Carnes;Embutidos;Premium;15.52;11.62
P0466;Mantequilla Kantu 466;Lacteos;Mantequilla;Inti;40.32;25.9
P0467;Res Andes 467;Carnes;Res;Valle;10.03;7.44
P0468;Agua Andes 468;Bebdia;Agua;Kantu;36.01;24.89
P0469;Keke Kantu 469;Panaderia;Keke;Ayni;26.84;20.28
P0470;Tostadas Ayni 470;Panaderia;Tostadas;Andes;12.97;7.88
P0471;Cerdo Ayni 471;Carnes;Cerdo;Kantu;15.13;10.96
P0472;Desinfectante Ayni 472;Limpieza;Desinfectante;Premium;10.44;8.23
P0473;Bizcocho Premium 473;Panaderia;Bizcocho;Sol;39.05;23.01
P0474;Frutos secos Kantu 474;Snacks;Frutos secos;Premium;8.07;6.39
P0475;Desinfectante Andes 475;Limpieza;Desinfectante;Ayni;31.05;22.21
P0476;Gaseosa Inti 476;;Gaseosa;Inti;47.72;30.53
P0477;Chocolates Premium 477;Snacks;Chocolates;Sol;10.11;7.72
P0478;Queso Kantu 478;Lacteos;Queso;Ayni;48.91;27.63
P0479;Gaseosa Sol 479;Bebidas;Gaseosa;Norte;16.36;9.86
P0480;Aceite Ayni 480;abarrotes ;Aceite;Valle;31.52;18.09
P0481;Keke Sol 481;Panaderia;Keke;Inti;18.85;14.77
P0482;Tomate Norte 482;Frutas y verduras;Tomate;Kantu;29.56;19.4
P0483;Frutos secos Valle 483;Snacks;Frutos secos;Norte;23.53;18.48
P0484;Mantequilla Ayni 484;Lacteos;Mantequilla;Ayni;32.37;19.59
P0485;Pan molde Sol 485;Panaderia;Pan molde;Sol;46.63;31.46
P0486;Verduras congeladas Andes 486;Congelados;Verduras congeladas;Andes;16.9;11.98
P0487;Jugo Andes 487;Bebdia;Jugo;Norte;11.16;7.18
P0488;Pasta dental Inti 488;Cuidado personal;Pasta dental;Kantu;30.5;21.73
P0489;Gaseosa Premium 489;BEBIDAS ;Gaseosa;Kantu;14.78;10.25
P0490;Queso Ayni 490;Lacteos;Queso;Sol;27.11;21.34
P0491;Keke Valle 491;Panaderia;Keke;Kantu;24.02;18.02
P0492;Jugo Inti 492;Bebidas;Jugo;Premium;28.25;19.29
P0493;Energizante Sol 493;Bebidas;Energizante;Inti;10.77;7.88
P0494;Bizcocho Valle 494;Panaderia;Bizcocho;Ayni;19.11;12.31
P0495;Shampoo Valle 495; cuidado personal;Shampoo;Valle;16.68;11.63
P0496;Embutidos Norte 496;Carnes;Embutidos;Kantu;27.87;18.83
P0497;Papa Sol 497;Frutas y verduras;Papa;Premium;22.16;14.37
P0498;Tomate Kantu 498;Frutas y verduras;Tomate;Kantu;24.92;15.56
P0499;Leche Norte 499;Lacteos;Leche;Sol;20.48;14.22
P0500;Chocolates Ayni 500;Snacks;Chocolates;Andes;38.87;29.81
